女 听过别人最多的议论就是干啥啥不行不长心眼没有脑子;这样的议论是针对谁呢？
男 想离婚了，五六年的感情敌不过三个月的分开;还在犹豫吧
女 我喜欢一个男生，但是我不知道他喜不喜欢我;我和他同学了8年
女 失恋失去生活信心，重度强迫症，轻度忧郁症;在哪里确诊的
女 老公出轨，我觉得我被欺骗了，该不该离婚？;你们有孩子吗
女 身体压抑，难过，我割腕了，之后又烦躁不安;是什么让你如此痛苦呢
男 我对不起我女朋友，。我有错事了，，，，，;需要我帮你说吗？
男,初二 地理生物还一星期中考 还有很多不会的;帅哥
女 很在意别人做的说的，这样是不是有心理问题;是不自信，你多大
女 心烦胡思乱想怎么办老想别人的不好自己想哭;你多大了？
女 给点意见，当初因为彩礼他说的分手，一年了;现在想继续相处吗？
女 老师！你好！我想请教你一个问题！我跟老公;什么问题呢
女 心里静不下来，脑子乱，心慌手抖，睡眠不好;想必是发生了什么事
女 我要怎么办？？我真的要崩溃了，这是爹妈？;嗯嗯
女,我老公要和我离婚，可我不想离，要怎么办？;发生了什么事情吗？
女,心里烦躁！工作和生活分不开！内心想逃避！;遇到什么事情使您烦躁呢？
男 我想问一下，当强迫的想法来的时候怎么办呢;你的问题多久了。发展到什么程度
男 我喜欢一个女孩，她是我同桌。但她不喜欢我;我俩刚开始像普通同桌一样互相学习，但我喜欢她的时候我否认了。
女,我好像有社交恐惧症。在陌生的环境很尴尬。;你多大年龄
男 失恋了，好难过！她把我全部通讯录都删了！;理解您的心情
男 失眠蛮久了，就是中午，明明想睡就是睡不着;晚上下午没精力学习
女,时不时就会跟男友提他的过去，然后大吵一架;美女
女 我老公多次出轨我该怎么办我的心里快崩溃了;美女
男 男 亲子关系 找个有经验老师帮忙 求助 谢谢了;点我头像。
在恋爱期间和劈腿了，怎么办。。。。。。。。。;微笑]
情绪低落，两个多月了，如何解决？求助老师帮助;多大 什么原因呢
自卑无奈而且不想活了怎么办，感觉没有价值了。;发生什么事？让你否定了自己的价值感？
女 社会恐惧症 自卑 不敢与人交流怎么克服和治疗;需要系统的心理治疗了
男 情感问题   思想问题    心里素质低   。。。。;首先处理好自己和自己的关系。你是不是真正接纳自己，是不是真正爱自己呢？
一女同事老是找我合租，什么意思。。。。。。。;你是男的吗 多大
内心难免会有空虚的时候，这个时候该如何疗愈呢;说的很好，这是难免的事情，顺其自然的接受，明后天就好了。
女 结婚三年，婚姻不幸福，有孩子了，请问怎么办;可以积极修复婚姻关系  还可以离婚分手  还可以保持这样的痛苦  你选择那种呢
女 感觉自己不合群，总处理不好人际关系，很苦恼;可以通过咨询来调整。
男 因为工作原因心烦心累不知道自己应该怎么办。;遇上什么问题了呢？能具体谈谈吗
女 因为找不到合适的工作和男朋友所以压力特别大;美女
今天好开心啊，终于做了自己想做的事情了。。。;为你高兴
女 感觉自己抑郁症严重了 老是想死 老公不理解我;你多大了呢，
和他和好了，但为什么感觉见面好紧张啊。。。。;担心他对你的态度
女 为什么一接触异性就吐（处对象），吃不下饭，;是什么原因让你这么排斥异性相处呢
冷战了怎么办…………………………………………;多久了？
自己总是想着自己的老婆可能干过什么一下坏事情;这种情况多长时间了
男 怎么第一次约女朋友见面   一约出来就说我烦人;你们认识多久？
女 家庭问题心里压力很大，导致心情低落脾气暴躁;家庭里有怎样的问题？
女 老师，和家长关系不好，觉得工作不顺心不开心;你多大年龄？
女 我十岁了，可我家人都说我心里知有两三岁儿童;你如何看这个呢？
女,受不了男朋友大男子主义 但不舍得 该不该放手;你需要学习如何有效沟通你的部署
男 就是小孩不爱和他妈妈说话，就是有点恨他妈妈;小孩多大了？
男 为什么我到那那都有人欺负我，到都交不到朋友;多大了？
男 上课不认真听讲！数学学不好！还有地理和物理;是你么？
女 我是初中毕业想要明年去学点东西。学什么好呢;美女
男 老师好，我有一个男孩15岁非常叛逆该怎样教育;男孩子叛逆是好事，老老实实唯唯诺诺我们可能更无法接受。孩子正当青春期。内心急于独立的成人意识剧增。
请问有手机方面的专家么？想咨询有关手机的问题;这里是心理咨询
看了看开机键健健康康看看人聚餐我回复好丰富就;想说什么
女,孕期抑郁症怎么办 婚姻恐惧症 老公对自己不好;怀孕几个月了？你目前处于这种心理状态。急需心理咨询疏导治疗。
男 希望有老师帮我鉴别一下我是不是有社交恐惧症;什么情况？
男,太爱紧张了 一紧张就说不出话来 并且出现口吃;男,太爱紧张了 一紧张就说不出话来 并且出现口吃
男 心烦易怒，睡觉老做梦，老想着事儿停不下来，;无非控制自己的思维吗
女 我不了解我的男朋友，现在感情危机，我很困惑;姑娘
女 我了解了自己情商不够，但很苦恼不知如何改进;学习吧
女 为什么我从一段感情里走不出来？我该怎么办？;这段关系谈了多久，分手是什么原因
男 第一次失恋，心里实在想不开，不知道怎么排解;您多大？能理解你
女 老是心里感觉紧张害怕～～～～～～～～～～～;你一般都紧张什么呀
男 我喜欢上了一个男生。他是我的好朋友怎么办。;你本身的性取向是？
男 我有焦虑型依恋症咋办   有没有啥方法可以治疗;这个需要专业咨询进行系统调整比较好
女 读高一了忽然不想去上学了，抑郁寡欢，怎么办;是我女儿
女 产后总是怀疑老公会出轨。太压抑了。怎么办？;美女
女 你好！我的感情出现了问题好烦，能帮帮我吗？;具体是什么问题呢？
女 为什么我总是胡思乱想的，感觉别人心机都很重;多大了？发生什么事了？
男 我好想忘记她，但是有舍不得她，毕竟一年多了;是啊。你很为难。可以具体谈谈吗？或者电话沟通。我帮你。
女 老师您好，请问男女之间有没有很纯的友谊吗？;有
女,急性焦虑症，十年了，断断续续，怎么彻底治愈;之前做过心理治疗吗
女,焦虑不安头昏头痛胡思乱想，老往坏处想怎么办;你几岁了，这样的焦虑多久了
女 喜欢上一个人，但是，他对我好像不是特别在意;这个人和你什么关系呢  可以表白你得喜欢吗
女 工作不顺，失恋，父母离异，觉得人生没有意思;你多大年龄？
女 对人、对事情特别容易起疑心，不容易相信人？;疑心重的人格
女 经常心烦，睡不好觉，我走不出阴影，生活很累;走不出什么样的阴影
男,对什么都不相信，包括现在都不信你们这个软件;怎么解决？
女 心理问题，总是感觉心里压抑，铭感脆弱，爱哭;你多大 详细说一下吧
女 三年前婚内出轨现在没有离婚心里有心结怎么办;美女
女 确诊抑郁症，我该怎么办？不吃药可以治好吗？;抑郁严重么
女 感情在现实面前算个屁。。。。。。。。。。。;遇到感情个现实冲突了？
男 怎么判断女孩是把你当备胎，还是在纠结考察你;微笑]
女 每次考试前一夜都是睡不着，差不多一两点才睡;对这种状态，自己有什么想法呢？
女 和母亲关系紧张，和男朋友经常吵架，内心脆弱;你多大？感觉缺少安全感，是吗
女,不敢去欢乐谷玩刺激游戏的人是胆小的表现吗？;不是的
女 最近老是害怕睡着后会死掉不敢睡觉，精神恐慌;嗯
男 工作不顺心。要结婚楼房买不起，心里压力太大;你女朋友是什么意见？愿意和你共同承担吗？还有工作怎么啦？
35岁是女人和47岁的男人心里想法和观念是一样的吗;你为什么纠结这个问题呢
男 寻求一个让内心平静的方法，可以使主意力集中;让内心平静没有方法，最主要的是，找到根源改变我们的思维和认知。
男 和老婆老是闹矛盾，心里堵的不行，请求开导。;什么原因引发的
男 心凉了 想离婚了 想放弃了 可是她又让我不舍得;你们发生什么了
女 自卑抑郁症怎么办？老是不想活了，每天都会哭;对自己哪方面不满意呢？
女,20岁,郁闷到影响正常生活 如何释放压力以及抑郁;美女，因为什么而郁闷呢！
女,心情总是莫名其妙的烦，很容易发火。整夜失眠;你多大了？这种情况持续多久了？
女 人累，心更累，我也不知道货着还有什么意义。;改变认知，换角度考虑，你会轻松
